Id_com2017,Surfbati,Surfparc,Surfcons,Maison,Appart,Pro,Divers,Cumul,Dens_cons
14001,13529,231634.29,149188.76,88,8,7,0,103,6.90401
14002,1046,33184.16,19010.65,7,0,0,0,7,3.68215
14003,1989,27863.04,21083.68,16,0,2,0,18,8.53741
14005,13341.25,297000.62,150828.41,89,2,4,0,95,6.29855
14006,7360,85240.55,76097.63,61,0,0,0,61,8.01602
14007,1073,24677.05,16500.67,6,0,0,0,6,3.63622
14009,12316,102865.35,85737.18,95,8,2,0,105,12.2467
14011,14731.5,299271.18,199825.53,83,0,4,0,87,4.3538
14012,1485,100231.13,28232.72,8,8,0,0,16,5.66718
14013,162,10906.5,3878.24,1,0,0,0,1,2.57849
14014,3894.63,35454.07,29871.59,29,5,3,0,37,12.3863
14015,5059.63,42078.6,42101.96,27,4,2,0,33,7.83811
14016,9070,227846.86,91733.9,28,1,9,0,38,4.14242
14019,2582,45165.47,45189.64,14,0,0,0,14,3.09806
14020,39114.63,304588.79,248558.38,208,17,38,0,263,10.581
14021,2321,16513.02,16524.46,17,2,3,1,23,13.9188
14022,6843.75,49838.98,49873.64,48,4,7,0,59,11.8299
14023,1016.63,15506.65,15518.06,8,0,0,0,8,5.15528
14024,11911.75,157876.29,149871.9,69,103,1,0,173,11.5432
14025,2230,29358.93,22360.45,8,0,1,0,9,4.02496
14026,10011.75,108682.99,99925.49,82,0,0,0,82,8.20611
14027,48031.38,562478.33,449443.26,347,64,12,2,425,9.45614
14030,9169,57508.42,57536.63,76,14,0,0,90,15.6422
14032,5354,253946.15,89271.35,17,0,8,0,25,2.80045
14033,4384,275450.79,98871.82,25,0,3,0,28,2.83195
14034,2267.38,45820.72,32248.15,15,0,1,0,16,4.96152
14035,15579.63,163124.05,145525.76,118,6,5,0,129,8.86441
14036,2847,33168.12,33182.4,24,0,0,0,24,7.23275
14037,4459.63,78145.75,57167.12,29,0,0,0,29,5.07285
14038,10524.5,88890.64,76506.99,85,0,1,0,86,11.2408
14039,9543.88,101904.33,97006.92,87,0,0,0,87,8.96843
14040,2937,39766.43,39790.23,8,6,2,0,16,4.02109
14041,1430,131244.55,40523.21,8,0,0,0,8,1.97418
14042,5512.38,51838.17,49049.15,40,0,2,0,42,8.56284
14044,11628,92495.73,90606.85,95,3,0,0,98,10.816
14045,1910.25,199286.2,29444.72,9,0,0,0,9,3.05658
14046,13130.5,220423.66,118733.97,66,0,3,0,69,5.81131
14047,102245,486413.73,465453.32,306,634,111,4,1055,22.6661
14049,737,19238.84,11722.99,6,0,0,0,6,5.11815
14050,1116.25,24356.7,24366.72,11,0,0,0,11,4.51435
14053,684,20222.34,12468.92,4,0,0,0,4,3.20798
