"insee_2017","bati","parc","cons","mais","app","pro","div","loc","dens"
"Norm",25498819,302911633,221722300,122982,58180,16086,560,197808,8.9214300899
"14",6188694,79686004,52833290,29793,15762,5011,110,50676,9.5916798772
"27",4607760,58780968,46181546,26270,8489,2644,73,37476,8.1149296793
"50",5122465,59327955,47243391,26476,4939,2547,113,34075,7.2126490239
"61",2344658,38459127,22443625,10122,2147,1710,82,14061,6.2650306261
"76",7235242,66657581,53020448,30321,26843,4174,182,61520,11.6030706198
"14001",13529,231634,149189,88,8,7,0,103,6.90401
"14002",1046,33184,19011,7,0,0,0,7,3.68215
"14003",1989,27863,21084,16,0,2,0,18,8.53741
"14005",13341,297001,150828,89,2,4,0,95,6.29855
"14006",7360,85241,76098,61,0,0,0,61,8.01602
"14007",1073,24677,16501,6,0,0,0,6,3.63622
"14009",12316,102865,85737,95,8,2,0,105,12.2467
"14011",14732,299271,199826,83,0,4,0,87,4.3538
"14012",1485,100231,28233,8,8,0,0,16,5.66718
"14013",162,10907,3878,1,0,0,0,1,2.57849
"14014",3895,35454,29872,29,5,3,0,37,12.3863
"14015",5060,42079,42102,27,4,2,0,33,7.83811
"14016",9070,227847,91734,28,1,9,0,38,4.14242
"14019",2582,45165,45190,14,0,0,0,14,3.09806
"14020",39115,304589,248558,208,17,38,0,263,10.581
"14021",2321,16513,16524,17,2,3,1,23,13.9188
"14022",6844,49839,49874,48,4,7,0,59,11.8299
"14023",1017,15507,15518,8,0,0,0,8,5.15528
"14024",11912,157876,149872,69,103,1,0,173,11.5432
"14025",2230,29359,22360,8,0,1,0,9,4.02496
"14026",10012,108683,99925,82,0,0,0,82,8.20611
"14027",48031,562478,449443,347,64,12,2,425,9.45614
"14030",9169,57508,57537,76,14,0,0,90,15.6422
"14032",5354,253946,89271,17,0,8,0,25,2.80045
"14033",4384,275451,98872,25,0,3,0,28,2.83195
"14034",2267,45821,32248,15,0,1,0,16,4.96152
"14035",15580,163124,145526,118,6,5,0,129,8.86441
"14036",2847,33168,33182,24,0,0,0,24,7.23275
"14037",4460,78146,57167,29,0,0,0,29,5.07285
"14038",10525,88891,76507,85,0,1,0,86,11.2408
"14039",9544,101904,97007,87,0,0,0,87,8.96843
"14040",2937,39766,39790,8,6,2,0,16,4.02109
"14041",1430,131245,40523,8,0,0,0,8,1.97418
"14042",5512,51838,49049,40,0,2,0,42,8.56284
"14044",11628,92496,90607,95,3,0,0,98,10.816
"14045",1910,199286,29445,9,0,0,0,9,3.05658
"14046",13131,220424,118734,66,0,3,0,69,5.81131
"14047",102245,486414,465453,306,634,111,4,1055,22.6661
"14049",737,19239,11723,6,0,0,0,6,5.11815
"14050",1116,24357,24367,11,0,0,0,11,4.51435
"14053",684,20222,12469,4,0,0,0,4,3.20798
"14054",2177,48525,43426,14,0,0,0,14,3.22389
"14055",2341,463838,56740,10,0,0,0,10,1.76241
"14057",10726,105311,64830,99,2,4,0,105,16.1963
"14059",2922,28187,21716,17,20,1,0,38,17.4986
"14060",23407,125198,125267,154,46,10,0,210,16.7642
"14061",83616,2621946,1355879,508,14,46,2,570,4.20392
"14062",4939,35730,35752,45,0,1,0,46,12.8665
"14063",373,8820,8825,3,0,0,0,3,3.39937
"14064",2353,32396,20454,16,0,0,0,16,7.82227
"14066",17334,155228,132907,169,2,2,0,173,13.0166
"14068",55893,322237,313677,247,3,28,0,278,8.86262
"14069",14036,151019,140843,123,0,4,0,127,9.01711
"14070",2838,110762,50161,13,0,3,0,16,3.18972
"14076",60911,678425,554635,189,374,25,3,591,10.6557
"14077",6526,286211,125181,48,4,7,0,59,4.71319
"14078",5331,80527,73713,45,0,0,0,45,6.10477
"14079",18764,268209,134323,93,205,8,0,306,22.7809
"14080",669,23262,23263,3,0,0,0,3,1.28962
"14082",3748,53482,51225,30,0,2,0,32,6.24694
"14083",5066,170449,92078,20,2,3,0,25,2.71509
"14084",2781,40694,37974,22,0,0,0,22,5.79338
"14085",8177,425927,191892,50,1,4,0,55,2.8662
"14086",5543,212787,80572,26,0,2,0,28,3.47517
"14087",929,26426,23354,5,0,1,0,6,2.5692
"14088",2698,32873,32876,21,0,1,0,22,6.69175
"14089",1448,15451,15457,11,0,0,0,11,7.11663
"14090",6096,187974,50174,57,7,1,0,65,12.9548
"14091",396,15028,15037,2,0,0,0,2,1.33008
"14092",35008,232518,206560,152,57,44,0,253,12.2482
"14093",3674,143445,48822,86,0,0,0,86,17.6149
"14096",1593,44650,26435,10,0,0,0,10,3.78286
"14097",3033,25522,25527,25,0,0,0,25,9.79355
"14098",59500,476988,406253,353,33,46,0,432,10.6338
"14100",16739,169965,146605,114,4,17,2,137,9.34486
"14101",48780,170806,170882,40,194,47,1,282,16.5026
"14102",13127,217300,155991,64,2,7,1,74,4.74385
