"insee_2015","Nom","Surf","11","12","13","14","15","21","22","23","24","31","32","51","xx"
"14001","Ablon",1214.17,66.26,40.29,0,16,1.45,208.15,6.69,441.72,0.39,233.07,190.19,9.98,0
"14002","Acqueville",672.89,12.1,12.83,0,0.45,0.52,336.23,0,208.37,1.51,42,56.97,1.91,0
"14003","Agy",427.25,17.28,12.16,0,0.36,0,158.68,2.11,176.02,1.27,0.06,56.74,2.56,0
"14004","Aignerville",440.23,14.63,17.13,0,1.34,0.43,122.44,0,230.54,0.26,0.59,48.28,4.58,0
"14005","Airan",1348.35,32.04,36.13,0.88,2.5,0.5,892.5,0,213.4,1.97,61.88,103.86,2.7,0
"14006","Amaye-sur-Orne",529.65,50.69,15.84,0,7.71,1.68,336.16,0,65.58,0.72,11.53,33.05,6.69,0
"14007","Amaye-sur-Seulles",566.68,10.27,11.87,0,1.05,0.13,272.12,0.12,189.26,0.5,0.27,78.79,2.31,0
"14008","Amblie",591.01,13.79,15.35,0.57,2.7,0.47,374.91,1.99,93.48,0.44,35.35,42.55,9.41,0
"14009","Amfreville",598.36,67.72,23.67,2.55,11.18,2.62,220.83,0,168.94,0.81,9.01,56.79,34.24,0
"14011","Anctoville",1769.45,44.41,39.9,0,10.22,0.51,718.21,0,692.12,1.7,60.83,194.37,7.19,0
"14012","Angerville",393.92,16.91,17.2,0,4.7,0,18.55,4.68,214.92,0,23.86,90.51,2.58,0
"14013","Angoville",372.13,1.72,5.57,0,0.05,0,173.79,0,80.89,0.55,83.85,24.86,0.84,0
"14014","Anguerny",290.76,32.44,9.59,0,0.79,1.64,232.8,0,9.24,0.03,0.06,4.12,0.04,0
"14015","Anisy",415.37,28.74,11.82,0,3.7,2.33,341.8,0,17.42,1.33,0.02,7.74,0.46,0
"14016","Annebault",575.89,35.54,23.55,0,4.81,0.96,92.98,0,256.42,0.47,68.53,90.56,2.07,0
"14019","Arganchy",710.33,13.65,13.1,0,1.83,0.03,277,4.15,294.95,1.21,5.05,97.62,1.74,0
"14020","Argences",980,113.9,49.85,2.74,6.08,14.1,247.03,0,314.18,0.45,126.56,101.18,3.94,0
"14021","Arromanches-les-Bains",135.67,26.33,10.19,0,2.02,0.8,40.52,0,48.36,0.04,0.55,6.55,0.31,0
"14022","Asnelles",265.37,59.15,17.2,0,2.22,1.56,153.4,0,16.35,0.08,0,9.36,6.06,0
"14023","Asnieres-en-Bessin",464.45,9.2,8.38,0,1,0.12,187.47,0,203.72,0.53,6.26,45.63,2.15,0
"14024","Auberville",267.05,38.2,8.93,0,11.79,3.3,15.56,0.1,78.22,0,49.15,61.34,0.45,0
"14025","Aubigny",498.28,18.6,28.22,0.13,2.27,0,248.62,0,123.18,0.89,44.27,29.21,2.89,0
"14026","Audrieu",1126.55,49.57,29.2,0,4.99,2.11,697.53,3.74,225.5,1.14,24.53,83.6,4.65,0
"14027","Aunay-sur-Odon",1298.38,102.16,56.3,0,9.46,3.7,455.13,22.91,371.25,1.44,149.3,120.22,6.52,0
"14028","Auquainville",962.23,22.59,19.85,0,4.41,1.04,125.38,0.86,493.56,0.41,157.02,132.35,4.75,0
"14029","Les Autels-Saint-Bazile",555.9,5.37,9.39,0,0.94,0.04,53.3,3.31,231.12,1.66,132.62,115.76,2.4,0
"14030","Authie",322.52,48.76,13.48,0,3.17,8.98,225.41,0,18.14,0.11,0,4.42,0.04,0
"14031","Les Authieux-Papion",432.92,5.19,9.6,0,0.33,0.01,135.69,3.28,149.1,1.71,71.3,54.7,2.03,0
"14032","Les Authieux-sur-Calonne",1029.43,30.13,21.97,0,5.87,0.57,88.47,20.03,560.43,0.9,52.13,239.87,9.06,0
"14033","Auvillars",1179.22,16.48,17.57,0,3.96,0.2,116.88,2.19,702.08,0.03,34.19,281.77,3.88,0
"14034","Avenay",572.63,27.92,14.16,0,1.96,0.65,444.19,0,65.93,0.34,1.22,15.36,0.91,0
"14035","Balleroy",435.54,39.77,16.64,0.24,3.04,0.21,107.9,2.36,172.33,0.41,21.13,68.19,3.32,0
"14036","Banneville-la-Campagne",645.04,23.34,25.44,0,1.98,0,412.82,0,108.58,1.13,6.75,51.08,13.92,0
"14037","Banneville-sur-Ajon",562.08,19.31,11.2,0,1.19,1.05,331.79,0,124.82,2.91,14.42,52.79,2.62,0
"14038","Banville",467.99,29.24,11.77,0,1.63,1.2,322.16,0,34.68,1.84,3.82,27.76,33.88,0
"14039","Barbery",869.82,40.75,19.47,0,1.6,1.07,590.92,0.01,152.87,0.32,21.96,39.23,1.62,0
"14040","Barbeville",356.94,13.31,15.36,0,1.18,0.01,154.02,3.51,126.15,0.58,0.36,39.35,3.13,0
"14041","Barneville-la-Bertran",418.46,11.89,10.09,0,3.52,0.21,79.7,14.76,142.91,0.13,80.88,72.06,2.31,0
"14042","Baron-sur-Odon",645.05,36.99,19.13,2.92,2.93,1.93,369.89,2.78,87.29,0.66,85.68,30.54,4.31,0
"14043","Barou-en-Auge",839.3,4.7,15.14,0.02,1.72,0.01,540.1,0,149.14,3.4,88.6,34.49,1.98,0
"14044","Basly",405.1,37.03,14.5,0,2.48,1.13,316.32,0,14.19,0.59,5.25,13.16,0.44,0
"14045","Basseneville",1073.12,25.39,24.36,0,2.41,0,188.64,0,636.29,0.64,72.42,87.65,35.31,0
"14046","Bavent",1855.13,85.76,49.95,0.45,9.26,3.05,335.39,0.45,848.45,4.83,272.86,201.73,42.96,0
"14047","Bayeux",708.95,349.81,135.83,0,39.09,26.29,17.88,0,98.61,0.02,0,39.26,2.15,0
"14049","Bazenville",407.19,10.23,9.25,0,1.32,0,226.45,4.34,90.5,0.36,1.22,63.33,0.18,0
"14050","La Bazoque",1042.01,16.89,16.39,0,0.31,0.13,408.16,0.39,437.33,0.75,35.18,116.72,9.75,0
"14052","Beaulieu",320.77,8.89,9.85,0,2.27,0,133.3,2.08,122.13,0.37,0.2,40.02,1.66,0
"14053","Beaumais",1070.26,11.8,22,0,2.16,0.13,865.59,1.34,94.48,0.86,24.52,44.29,3.09,0
"14054","Beaumesnil",504.86,10.13,12.14,0,3.33,0.15,249.72,2.79,166.41,3.7,0.22,53.89,2.37,0
"14055","Beaumont-en-Auge",812.01,36.26,25.44,0,5.29,0.33,150.58,0.25,382.44,0.29,34.5,175.46,1.19,0
"14056","Bauquay",179.98,10.1,6.19,0,0.68,0.1,93.71,0.52,50.29,0,2.37,15.65,0.37,0
"14057","Bellengreville",1020.75,60.21,44.49,1.63,3.15,1.32,664.92,1.05,33.09,2.25,151.93,50,6.69,0
"14058","Bellou",751.18,11.07,17.48,0,3.3,0,193.27,31.09,306.28,0.13,41.81,145.54,1.22,0
"14059","Benerville-sur-Mer",305.82,63.64,17.25,0.1,13.54,7.58,23.09,0,65.55,0,68.49,46.31,0.27,0
"14060","Benouville",541.16,86.47,37.56,0,4.67,2.27,291.45,0,21.73,0.13,26.05,44.02,26.8,0
"14061","Le Beny-Bocage",907.5,54.78,34.98,0.13,8.63,1.76,256.78,4.53,378.23,0.29,61.45,100.31,5.63,0
"14062","Beny-sur-Mer",674.33,19.73,21.37,0,3.67,0.54,496.07,0.01,40.93,0.75,61.4,29.31,0.55,0
"14063","Bernesq",602.11,17.68,15.4,0,1.05,0,129.02,0.96,322.98,0.29,35.73,74.86,4.12,0
"14064","Bernieres-d'Ailly",940.59,14.85,28.19,0,1.78,0,608.73,0.08,25.81,1.98,234,22.85,2.33,0
"14065","Bernieres-le-Patry",1598,24.71,40.04,0.98,15.68,0.08,711.9,6.52,589.2,1.08,4.78,197.01,6.04,0
"14066","Bernieres-sur-Mer",774.24,105.2,38.35,0,7.2,9.91,550.04,0,38.6,0.47,1.31,21.7,1.45,0
"14068","Bieville-Beuville",1124.52,160.65,38.45,0,11.39,18.52,723.38,0,61.84,0.23,42.58,65.1,2.38,0
"14069","Beuvillers",491.4,70.44,28.98,0,9.36,2.35,43.18,0.01,225.7,0.24,11.81,95.3,4.02,0
"14070","Beuvron-en-Auge",976.51,15.46,15.26,0,4.1,0.67,163.52,1.64,547.18,5.39,58.44,158.79,6.06,0
"14073","La Bigne",395.41,9.74,10.2,0,0.49,0,170.62,15.63,119.17,0.27,7.56,60.24,1.5,0
"14074","Billy",677.74,19,16.16,4.82,0.94,0.47,545.19,4.61,27.25,1.13,35.45,20.67,2.05,0
"14075","Bissieres",157.55,10.21,5.68,0,1.95,0,34.41,1.39,64.97,0.29,2.28,35.93,0.47,0
"14076","Blainville-sur-Orne",715.38,212.08,77.86,0,5.72,8.42,215.56,0,48.1,0.61,59.83,44.02,43.2,0
"14077","Blangy-le-Chateau",1066.78,60.29,27.95,0.11,12,1.55,70.22,0,442.05,0.37,239.83,203.75,8.65,0
"14078","Blay",720.59,21.14,16.48,0,1.06,0.73,219.49,0,364.16,0.2,29.25,66.09,1.98,0
"14079","Blonville-sur-Mer",684.98,119.09,30.66,0,10.83,3.25,45.49,5.42,317.32,1.11,9.13,134.6,8.07,0
"14080","Le Bo",391.21,6.27,10.55,0,1.6,0,50.59,4.08,179.2,0.05,81.88,51.44,5.55,0
"14081","Boissey",531.4,17.84,13.29,0,3.6,0.47,108.77,2.22,295.71,2.13,4.26,80.52,2.59,0
"14082","La Boissiere",204.69,8.9,5.02,0,0.87,0,18.76,0,127.41,0,9.72,33.51,0.5,0
"14083","Bonnebosq",1235.7,37.06,27.47,0,8.85,3.42,306.67,6.5,592.68,0.89,19.25,230.69,2.24,0
"14084","Bonnemaison",864.8,21.47,18.8,0,1.47,0.04,378.41,0,217.03,1.04,129.34,92.47,4.74,0
"14085","Bonneville-la-Louvet",2087.03,75.2,43.45,0,21.74,3.15,195.43,3.92,1225.46,0,50.09,454.99,13.62,0
"14086","Bonneville-sur-Touques",667.33,35.51,24.87,0,9.52,0.17,26.63,0.26,451.27,0,1.63,76.74,40.75,0
"14087","Bonnoeil",721.68,5.52,15.23,0,1.47,0.24,232.97,6.13,239.66,1.01,145.36,71.55,2.55,0
"14088","Bons-Tassilly",938.56,22.74,33.14,0,1.79,0.92,663.96,14.3,125.42,4.68,26.71,42.28,2.61,0
"14089","Bougy",309.79,14.06,6.88,0,0.77,1.46,199.11,0,50.21,0.1,10.84,24.88,1.49,0
"14090","Boulon",1389,29.99,41.09,0,2.67,0.65,430.97,3.61,202.03,0.57,617.23,54.16,6.04,0
"14091","Bourgeauville",623.97,18.62,13.72,0,4.65,0.23,68.98,0,365.86,0.21,25.39,124.89,1.42,0
"14092","Bourguebus",554.54,84.75,29.37,0,3.21,9.38,403.58,0,14.6,0.71,4.43,2.93,1.58,0
"14093","Branville",639.12,17.8,12.13,0,3.76,0.89,165.17,0,296.98,10.87,34.07,95.31,2.14,0
"14096","Bremoy",1270.32,13.87,23.65,0,3.2,0,348.73,10.92,429.25,0.19,309.83,124.78,5.9,0
"14097","Bretteville-le-Rabet",456.78,14.14,11.19,13.36,2.15,1.21,378.13,0,12.52,0,2.92,20.31,0.84,0
"14098","Bretteville-l'Orgueilleuse",632.67,109.31,46.84,0,8.26,22.13,381.19,0,44.72,0.43,0.67,16.46,2.65,0
"14099","Bretteville-sur-Dives",697.01,17.31,11.38,0,1.05,0.32,417.34,0.83,197.86,4.57,0.45,42.39,3.5,0
"14100","Bretteville-sur-Laize",984.4,62.96,32.2,0.01,10.9,5.22,510.37,0,221.08,0.7,60.24,76.99,3.73,0
"14101","Bretteville-sur-Odon",648.73,140.36,75.79,0.5,10.64,4.73,278.62,0,76.46,0.02,8.71,50.05,2.84,0
"14102","Le Breuil-en-Auge",944.39,62.09,34.49,0,13.87,2.57,13.1,0,469.18,1.52,114.05,200.69,32.82,0
"14103","Le Breuil-en-Bessin",441.27,25.86,13.77,2.28,0.65,0.62,137.49,0,181.41,1.16,6.42,66.26,5.34,0
"14104","Le Brevedent",447.42,14.34,10.84,0,4.88,0.07,119.08,0,157.27,0.03,68.01,70.06,2.85,0
"14105","La Breviere",355.76,8.69,8.95,0,2.5,0,4.98,2.25,235.01,0.04,7.92,83.98,1.45,0
"14106","Breville-les-Monts",481.42,30.83,14.28,0,3.26,0.61,248.17,0,124.04,4.03,18.09,37.14,0.97,0
"14107","Bricqueville",686.19,14.5,15.39,0,0.53,0.58,197.99,0,368.02,0.44,4.67,79.79,4.27,0
"14109","Brouay",406.65,17.83,15.85,0,2.43,0.22,224.65,3.53,86.71,0.28,10.44,43.87,0.86,0
"14110","Brucourt",664.16,10.81,13.18,0,3.68,0,7.62,0.46,481.41,0.08,18.8,80.82,47.3,0
"14111","Buceels",488.47,15.52,11.37,0,1.92,0.4,231.46,0,174.34,1.23,0.25,49.37,2.6,0
"14113","Burcy",1181.77,14.63,26.02,0,6.5,0.1,588.02,2.19,452.19,0.21,2.19,86.75,2.98,0
"14115","Bures-les-Monts",529.77,6.89,13.19,0,1.08,0,130.43,0.67,226.77,0.51,77.96,67.64,4.63,0
"14116","Le Bu-sur-Rouvres",286.22,5.3,4.95,0,0.42,0.29,251.21,0,17.66,0.02,0.3,6.07,0,0
"14117","Cabourg",534.39,251.25,87.99,0,14.75,6.95,0,0,137.11,0.02,0.03,23.01,13.27,0
"14118","Caen",2574.29,1539.17,628.89,0,140.42,26.01,20.39,0.09,57.95,0,8.92,117.49,34.94,0
"14119","Cagny",854.15,92.07,44.71,0,2.94,8.4,657.1,4.2,22.7,2.9,0.09,17.02,2.02,0
"14120","Cahagnes",2468.09,74.57,63.77,0,8.93,0.82,1210.96,0,810.93,2.38,25.56,256.73,13.44,0
"14121","Cahagnolles",729.28,24.04,15.41,0,0.98,0.26,393.18,0,218.1,0.89,1.97,70.98,3.47,0
"14122","La Caine",243.28,7.18,7.1,0,0.54,0.19,99.02,1.44,98.85,0.04,0.4,27.32,1.21,0
"14123","Cairon",597.18,70.93,19.92,0,6.22,7.26,452.07,0,21.57,0.78,0.91,16.12,1.41,0
"14124","La Cambe",1126.79,40.02,52.44,0,2.53,0.26,420.1,7.4,510.39,0.74,0.62,80.06,12.23,0
"14125","Cambes-en-Plaine",319.49,45.94,17.7,0,7.72,4.54,223.86,0,11.56,0.2,0.07,7.59,0.31,0
"14126","Cambremer",2414.41,52.76,49.96,0,17.85,1.4,233.72,4.19,1277.17,1.48,100.45,667.67,7.75,0
"14127","Campagnolles",1025.34,24.45,20.07,0,5.45,0.64,502.97,4.72,379.49,0.27,7.32,77.05,2.92,0
"14128","Campandre-Valcongrain",676.39,5.36,15.7,0,0.84,0,145.29,0.13,181.11,0.1,260.05,65.21,2.58,0
"14129","Campeaux",848.23,33.96,28.3,0.45,6.88,0.21,249.89,4.05,355.86,0.47,33.75,124.46,9.94,0
"14130","Campigny",567.75,12.54,12.61,0.1,0.88,0.22,236.11,3.74,219.03,1.45,20.98,54.57,5.53,0
"14131","Canapville",252.58,21.76,9.14,0,3.94,1.16,10,0,150.87,0,12.5,30.85,12.36,0
"14132","Canchy",581.19,14.52,17.93,0,0.19,0,184.34,0,326.2,1.02,2.29,24.99,9.71,0
"14134","Canteloup",237.44,8.85,4.51,0,2.39,0.01,103.95,0,73.28,2.46,19.87,21.54,0.57,0
"14135","Carcagny",429.56,25.79,18.51,0,2.34,0,296.89,1.98,60.75,0.18,0.18,20.41,2.54,0
"14136","Cardonville",337.82,5.83,10.98,0,0.32,0,172.38,0,118.47,0.21,0.01,28.69,0.94,0
