"id_sudocuh","nom","siren"
"s21","SCOT DU BESSIN","251405304"
"s23","SCOT SUISSE NORMANDE - CONDE - DRUANCE","251405239"
"s24","SCOT PAYS DE FALAISE","241400514"
"s25","SCOT SUD PAYS D'AUGE","251405247"
"s185","SCOT CAEN METROPOLE","200051183"
"s187","SCOT DU NORD PAYS D'AUGE","251405213"
"s188","SCOT DU BOCAGE","251405288"
"s2218","SCOT DU PRE-BOCAGE","251405437"
"s193","SCOT AGGLOMERATION D'EVREUX","252704515"
"s244","SCOT DU ROUMOIS","252702485"
"s517","SCOT DE LA CC EURE MADRIE SEINE","242700623"
"s546","SCOT DU PAYS DU NEUBOURG","242700607"
"s1299","SCOT DE LA CC DE CONCHES","242700276"
"s1362","SCOT SEINE EURE FORET DE BORD","200035665"
"s1892","SCOT DU PAYS RISLE-CHARENTONNE","252704457"
"s2809","SCOT DE LA CA DES PORTES DE L'EURE","242700649"
"s3113","SCOT DU PAYS DU VEXIN NORMAND","200049864"
"s6393","SCOT DU PAYS D'AVRE, D'EURE ET D'ITON","200049526"
"s6394","SCOT DU PAYS RISLE ESTUAIRE","252703897"
"s259","SCOT DU PAYS DU COTENTIN","255003477"
"s845","SCOT CENTRE-MANCHE-OUEST","255003576"
"s847","SCOT DU PAYS DE LA BAIE DU MONT-SAINT-MICHEL","245000799"
"s10070","SCOT PAYS SAINT LOIS","255003550"
"s4860","SCOT DE LA COMMUNAUTE URBAINE D'ALENCON","246100663"
"s10162","SCOT DU PAYS DU PERCHE ORNAIS","200052538"
"s10288","SCOT DU PAYS D'ARGENTAN,PAYS D'AUGE ORNAIS ET PAYS D'OUCHE","200048643"
"s10442","SCOT PAYS DU BOCAGE","200071611"
"s4051","SCOT DU PAYS DES HAUTES FALAISES","200004000"
"s4070","SCOT DU PAYS PLATEAU DE CAUX MARITIME","200049609"
"s4903","SCOT DU PAYS ENTRE SEINE ET BRAY","257604843"
"s6499","SCOT LE HAVRE POINTE DE CAUX ESTUAIRE","257604835"
"s7099","SCOT CC CAUX VALLEE DE SEINE","200010700"
"s10000","SCOT DU PAYS DIEPPOIS TERROIR DE CAUX","200049617"
"s10167","SCOT METROPOLE ROUEN NORMANDIE","200023414"
"s10242","SCOT DU PAYS INTERREGIONAL BRESLE-YERES","200049427"
"s10405","SCOT DU PAYS DE BRAY","200049591"
