"id","Nom","pop","type","c","p","e","s"
"Norm","Normandie",3335889,"r",,,,
"14","Calvados",691670,"d",,,,
"27","Eure",598347,"d",,,,
"50","Manche",499958,"d",,,,
"61","Orne",287750,"d",,,,
"76","Seine-Maritime",1258164,"d",,,,
"14001","Ablon",1205,"c",,,"140000011",
"14002","Acqueville",189,"c",,,"140000007",
"14003","Agy",265,"c",,,"241400555",
"14004","aignerville",200,"c","14281",,,
"14005","Valambray",1788,"c",,,"140000009",
"14005","airan",688,"c","14005",,,
"14006","Amayé-sur-Orne",988,"c",,,"140000008",
"14007","Amayé-sur-Seulles",209,"c",,,"140000004",
"14008","amblie",267,"c","14355",,,
"14009","Amfreville",1383,"c",,,"140000010",
"14011","Aurseulles",1947,"c",,,"140000004",
"14011","anctoville",1077,"c","14011",,,
"14012","Angerville",132,"c",,,"140000010",
"14013","Angoville",31,"c",,,"140000007",
"14014","Colomby-Anguerny",1144,"c",,,"241400860",
"14014","anguerny",759,"c","14014",,,
"14015","Anisy",702,"c",,,"241400860",
"14016","Annebault",425,"c",,,"241400878",
"14019","Arganchy",234,"c",,,"241400555",
"14020","Argences",3642,"c",,,"140000009",
"14021","Arromanches-les-Bains",532,"c",,,"241400555",
"14022","Asnelles",593,"c",,,"140000005",
"14023","Asnières-en-Bessin",62,"c",,,"140000003",
"14024","Auberville",468,"c",,,"140000010",
"14025","Aubigny",284,"c",,,"241400514",
"14026","Audrieu",1020,"c",,,"140000005",
"14027","Les Monts d'Aunay",4782,"c",,,"140000004",
"14027","aunay-sur-odon",3158,"c","14027",,,
"14028","auquainville",309,"c","14371",,,
"14029","les autels-saint-bazile",49,"c","14371",,,
"14030","Authie",1529,"c",,,"140000001",
"14031","les authieux-papion",64,"c","14431",,,
"14032","Les Authieux-sur-Calonne",293,"c",,,"241400878",
"14033","Auvillars",243,"c",,,"241400761",
"14034","Avenay",545,"c",,,"140000008",
"14035","Balleroy-sur-Drôme",1432,"c",,,"140000003",
"14035","balleroy",969,"c","14035",,,
"14036","Banneville-la-Campagne",157,"c",,,"140000009",
"14037","Malherbe-sur-Ajon",513,"c",,,"140000004",
"14037","banneville-sur-ajon",373,"c","14037",,,
"14038","Banville",717,"c",,,"140000005",
"14039","Barbery",818,"c",,,"140000007",
"14040","Barbeville",178,"c",,,"241400555",
"14041","Barneville-la-Bertran",131,"c",,,"140000011",
"14042","Baron-sur-Odon",873,"c",,,"140000008",
"14043","Barou-en-Auge",84,"c",,,"241400514",
"14044","Basly",1164,"c",,,"241400860",
"14045","Basseneville",260,"c",,,"140000010",
"14046","Bavent",1745,"c",,,"140000010",
"14047","Bayeux",13917,"c",,,"241400555",
"14049","Bazenville",143,"c",,,"140000005",
"14050","La Bazoque",180,"c",,,"140000003",
"14052","beaulieu",176,"c","14061",,,
"14053","Beaumais",176,"c",,,"241400514",
"14054","Beaumesnil",212,"c",,,"140000006",
