"id","Nom","pop","type","c","p","e","s"
"14081","Boissey",0,"c",,,,
"14099","Bretteville-sur-Dives",0,"c",,,,
"14109","Brouay",0,"c",,,,
"14128","Campandre-Valcongrain",0,"c",,,,
"14142","Castilly",0,"c",,,,
"14151","Champ-du-Boult",0,"c",,,,
"14157","Cheux",0,"c",,,,
"14158","Chicheboville",0,"c",,,,
"14164","Clinchamps-sur-Orne",0,"c",,,,
"14176","Conteville",0,"c",,,,
"14178","Corbon",0,"c",,,,
"14186","Coulombs",0,"c",,,,
"14189","Coupesarte",0,"c",,,,
"14192","Courson",0,"c",,,,
"14201","Crevecoeur-en-Auge",0,"c",,,,
"14208","Croissanville",0,"c",,,,
"14212","Cully",0,"c",,,,
"14217","Dampierre",0,"c",,,,
"14219","Danvou-la-Ferriere",0,"c",,,,
"14235","Ecrammeville",0,"c",,,,
"14268","Fierville-Bray",0,"c",,,,
"14279","Fontenermont",0,"c",,,,
"14292","La Vespière-Friardel",0,"c","14292",,,
"14296","Le Gast",0,"c",,,,
"14313","Grandchamp-le-Chateau",0,"c",,,,
"14331","Hieville",0,"c",,,,
"14350","La Lande-sur-Drome",0,"c",,,,
"14359","Lecaude",0,"c",,,,
"14372","Livry",0,"c",,,,
"14373","Le Locheur",0,"c",,,,
"14376","Longraye",0,"c",,,,
"14382","Louvieres",0,"c",,,,
"14386","Magny-la-Campagne",0,"c",,,,
"14387","Magny-le-Freule",0,"c",,,,
"14413","Le Mesnil-Auzouf",0,"c",,,,
"14415","Le Mesnil-Benoist",0,"c",,,,
"14416","Le Mesnil-Caussois",0,"c",,,,
"14417","Mesnil-Clinchamps",0,"c",,,,
"14422","Le Mesnil-Mauger",0,"c",,,,
"14423","Le Mesnil-Patry",0,"c",,,,
"14433","Mittois",0,"c",,,,
"14444","Monteille",0,"c",,,,
"14450","Montviette",0,"c",,,,
"14462","Neuilly-la-Foret",0,"c",,,,
"14477","Ondefontaine",0,"c",,,,
"14481","Les Oubeaux",0,"c",,,,
"14489","Ouville-la-Bien-Tournee",0,"c",,,,
"14493","Percy-en-Auge",0,"c",,,,
"14508","Le Plessis-Grimoult",0,"c",,,,
"14517","Poussy-la-Campagne",0,"c",,,,
"14525","Putot-en-Bessin",0,"c",,,,
"14544","Roucamps",0,"c",,,,
"14548","Rucqueville",0,"c",,,,
"14551","Russy",0,"c",,,,
"14568","Sainte-Croix-Grand-Tonne",0,"c",,,,
"14577","Saint-Gabriel-Brecy",0,"c",,,,
"14580","Saint-Georges-en-Auge",0,"c",,,,
"14581","Saint-Germain-d'Ectot",0,"c",,,,
"14596","Saint-Jean-des-Essartiers",0,"c",,,,
"14597","Saint-Jean-le-Blanc",0,"c",,,,
"14600","Saint-Julien-le-Faucon",0,"c",,,,
"14608","Saint-Loup-de-Fribois",0,"c",,,,
"14611","Saint-Manvieu-Bocage",0,"c",,,,
"14616","Sainte-Marguerite-de-Viette",0,"c",,,,
"14662","Saint-Vigor-des-Mezerets",0,"c",,,,
"14666","Sannerville",0,"c",,,,
"14671","Sept-Freres",0,"c",,,,
"14688","Thieville",0,"c",,,,
"14690","Tierceville",0,"c",,,,
"14695","Torteval-Quesnay",0,"c",,,,
"14697","L'Oudon",0,"c",,,,
"14702","Tournay-sur-Odon",0,"c",,,,
"14722","La Vacquerie",0,"c",,,,
"14729","Vaudeloges",0,"c",,,,
"14749","Vieux-Fume",0,"c",,,,
"14750","Vieux-Pont-en-Auge",0,"c",,,,
"14757","Villiers-le-Sec",0,"c",,,,
"14763","Vouilly",0,"c",,,,
"27058","Bernieres-sur-Seine",0,"c",,,,
"27092","Bosguerard-de-Marcouville",0,"c",,,,
"27093","Bosnormand",0,"c",,,,
"27131","Carsix",0,"c",,,,
"27150","La Chapelle-Reanville",0,"c",,,,
"27253","Fontaine-la-Soret",0,"c",,,,
"27265","Francheville",0,"c",,,,
"27274","Gaillardbois-Cressenville",0,"c",,,,
"27344","Houlbec-pres-le-Gros-Theil",0,"c",,,,
"27452","Perriers-la-Campagne",0,"c",,,,
"27510","Saint-Aquilin-de-Pacy",0,"c",,,,
"27588","Saint-Pierre-d'Autils",0,"c",,,,
"27626","Theillement",0,"c",,,,
"27647","Tosny",0,"c",,,,
"27648","Tostes",0,"c",,,,
"50001","Acqueville",0,"c",,,,
"50018","Argouges",0,"c",,,,
"50020","Auderville",0,"c",,,,
"50037","La Bazoge",0,"c",,,,
"50043","Bellefontaine",0,"c",,,,
"50057","Biville",0,"c",,,,
"50073","Branville-Hague",0,"c",,,,
"50080","Brevands",0,"c",,,,
"50100","Carnet",0,"c",,,,
"50119","Les Champs-de-Losque",0,"c",,,,
"50125","Chasseguey",0,"c",,,,
"50131","Cherence-le-Roussel",0,"c",,,,
"50154","La Croix-Avranchin",0,"c",,,,
"50163","Digulleville",0,"c",,,,
"50171","Eculleville",0,"c",,,,
"50187","Flottemanville-Hague",0,"c",,,,
"50220","Greville-Hague",0,"c",,,,
"50242","Herqueville",0,"c",,,,
"50257","Jobourg",0,"c",,,,
"50318","Le Mesnil-Rainfray",0,"c",,,,
"50323","Le Mesnil-Tove",0,"c",,,,
"50325","Le Mesnil-Vigot",0,"c",,,,
"50333","Les Moitiers-en-Bauptois",0,"c",,,,
"50337","Montanel",0,"c",,,,
"50385","Omonville-la-Petite",0,"c",,,,
"50386","Omonville-la-Rogue",0,"c",,,,
"50404","Placy-Montaigu",0,"c",,,,
"50460","Sainte-Croix-Hague",0,"c",,,,
"50465","Saint-Ebremond-de-Bonfosse",0,"c",,,,
"50477","Saint-Germain-des-Vaux",0,"c",,,,
"50534","Saint-Pellerin",0,"c",,,,
"50600","Tonneville",0,"c",,,,
"50608","Troisgots",0,"c",,,,
